OBJECTID,GRID_ID,pr,Shape__Area,Shape__Length
204,BA-91,857.734008789,0.0185953909544097,0.560477310730821
205,BB-91,875.515563965,0.0185950595829141,0.560473169226643
206,BC-91,888.536560059,0.0185944022159106,0.56046463329625
207,BD-91,814.358032227,0.01859337115744,0.560450326264944
208,BE-91,739.64666748,0.0185919788714948,0.560429939579729
209,BF-91,695.977111816,0.0185904775465744,0.560408318410779
210,BG-91,720.728088379,0.0185892606853564,0.560392641873234
211,BH-91,692.484436035,0.0185878803692798,0.560374863754777
212,BI-91,663.179260254,0.018585747661227,0.560345545304601
213,BJ-91,693.418518066,0.0185834594752476,0.560315149373108
214,BK-91,762.006225586,0.0185807424305405,0.560276863714654
215,BL-91,773.683776855,0.0185780129691473,0.560239154691171
216,BM-91,728.23449707,0.0185751567164525,0.560200693191692
217,BN-91,697.405944824,0.0185718214178827,0.56015488468375
218,BO-91,678.543640137,0.0185684699395861,0.560109078746667
219,BP-91,647.53302002,0.0185648822672455,0.560059265833231
220,BQ-91,672.407165527,0.0185608115609526,0.560003434664101
221,BR-91,649.341552734,0.0185564828525102,0.559943829331462
222,BS-91,631.67364502,0.0185521196297955,0.559884245544609
223,AQ-90,1202.55090332,0.0186299855835443,0.561165617611094
224,AR-90,1166.45324707,0.0186318372358159,0.561189920232515
225,AS-90,1122.372924805,0.018633596306401,0.561213750472612
226,AU-90,881.890808105,0.0186362040256967,0.56124888683457
227,AV-90,880.892028809,0.0186372498854581,0.561264280981915
228,AW-90,867.793640137,0.0186380313210321,0.561274526390114
229,AX-90,931.03326416,0.018638620772748,0.561282343236883
230,AY-90,827.867919922,0.0186389350481235,0.561286333684229
231,AZ-90,805.437011719,0.0186391986686303,0.561290160264883
232,BA-90,851.620666504,0.0186389991722962,0.561287320211474
233,BB-90,861.703857422,0.0186386462617492,0.561283228237115
234,BC-90,793.071472168,0.0186378975887393,0.561272555467911
235,BD-90,753.541442871,0.0186369693991324,0.561259771050138
236,BE-90,709.567687988,0.0186357117441531,0.561242231554497
237,BF-90,675.731079102,0.018634086377272,0.561218203103536
238,BG-90,654.226501465,0.0186327250753315,0.561200210322442
239,BH-90,653.934814453,0.0186312286389718,0.561181080226551
240,BI-90,633.508239746,0.0186292432869699,0.56115462666444
241,BJ-90,627.225952148,0.0186270608193224,0.561125280014201
242,BK-90,621.517089844,0.0186243304510914,0.561087177246616
243,BL-90,618.278015137,0.0186214571977121,0.561048025019138
244,BM-90,595.780029297,0.0186186467552591,0.561010048718265
245,BN-90,585.683044434,0.0186152823608108,0.560962449021847
246,BO-90,547.009887695,0.0186120723417176,0.560919567067877
247,AP-89,1470.86315918,0.0186714201529981,0.561946709604945
248,AQ-89,1800.094116211,0.0186738103480195,0.561979876983463
249,AR-89,1660.356811523,0.0186754973050824,0.562001724145525
250,AS-89,1414.644165039,0.0186772636157002,0.562026094728567
251,AT-89,1149.416137695,0.0186787975986249,0.562047282519154
252,AV-89,836.265319824,0.0186812077548666,0.56207969760186
253,AW-89,851.416870117,0.0186821899740863,0.562093657453579
254,AX-89,888.38482666,0.0186825250354659,0.562097335563441
255,AY-89,848.182373047,0.0186827533148559,0.562100238788952
256,AZ-89,767.935424805,0.0186830433664511,0.562105115367934
257,BA-89,739.041748047,0.0186827360425212,0.562100817066369
258,BB-89,726.385498047,0.0186822735850996,0.562094323026283
259,BC-89,723.322692871,0.0186816940301071,0.562086539122855
260,BD-89,695.858703613,0.0186807338744082,0.562073291389774
261,BE-89,694.559326172,0.0186795599406047,0.562056980075215
262,BF-89,768.443847656,0.0186778363120297,0.562031989725535
263,BG-89,732.491088867,0.0186763207120855,0.562012250218915
264,BH-89,691.804870605,0.0186747446696955,0.561992027691671
265,BI-89,664.580322266,0.0186729103841508,0.561967256834864
266,BJ-89,671.510742188,0.0186706534502847,0.561936596211817
267,BK-89,629.470397949,0.0186678919730619,0.561898767349583
268,BL-89,600.250427246,0.0186651586610482,0.561861490020888
269,BM-89,587.784057617,0.0186623028420021,0.561822432057482
270,BN-89,579.803894043,0.0186588226378213,0.561773773352612
271,BO-89,553.234191895,0.0186556273736489,0.561731521177144
272,AI-88,1146.774536133,0.018693331316868,0.562466587096785
273,AM-88,1177.866577148,0.0187072362835323,0.562655210395064
274,AN-88,1332.912475586,0.0187101204813018,0.562694519445478
275,AO-88,1438.885986328,0.0187128993024714,0.562732195611697
276,AP-88,1971.056396484,0.0187152834050863,0.562764177037378
277,AQ-88,2476.76171875,0.0187173653515913,0.562791972876731
278,AR-88,1906.837890625,0.0187191756268277,0.562815308542936
279,AS-88,1553.028564453,0.0187211015163484,0.562843014642663
280,AT-88,1402.756103516,0.0187225661485684,0.56286287863025
281,AU-88,1086.746459961,0.0187238285174658,0.562878354740602
282,AV-88,1030.364746094,0.0187252839135965,0.562899578131063
283,AW-88,821.654052734,0.0187260193008854,0.562909075145063
284,AX-88,894.409362793,0.0187266580681325,0.562917495058688
285,AY-88,902.039672852,0.0187269623005832,0.562921633592414
286,AZ-88,787.710632324,0.0187270326087656,0.562922840054667
287,BA-88,743.416442871,0.0187269663502221,0.562921870270968
288,BB-88,678.968444824,0.0187263886659323,0.562913203444275
289,BC-88,646.379150391,0.0187257836960484,0.562905622266716
290,BD-88,639.723022461,0.0187248307362715,0.562892701936347
291,BE-88,652.665893555,0.0187235412421174,0.562875235492148
292,BF-88,753.412963867,0.0187219811344335,0.562853365064943
293,BG-88,809.670410156,0.0187205902401111,0.562834648513209
294,BH-88,776.756164551,0.018718842514847,0.562810042209884
295,BI-88,699.815734863,0.0187169982059103,0.562786245514196
296,BJ-88,699.410766602,0.0187144736961558,0.562752390399148
297,BK-88,660.455627441,0.0187120479554495,0.562719308415657
298,BL-88,653.547485352,0.0187092985645343,0.562681560442004
299,BM-88,623.527404785,0.0187061371084036,0.562638670464074
300,BN-88,600.995117188,0.0187027608997266,0.562592170159404
301,BO-88,577.633605957,0.0186994183905167,0.562548491178722
302,BP-88,543.985900879,0.0186956681595412,0.562497341190135
303,AH-87,1113.422607422,0.0187330729868052,0.563229246683945
304,AI-87,1221.129272461,0.0187373503790695,0.563287841086829
305,AJ-87,1336.077636719,0.0187411519562772,0.563338906199586
306,AK-87,1385.630249023,0.0187448911757713,0.563389710138792
307,AL-87,1326.640869141,0.0187481520984818,0.563433459963703
308,AM-87,1396.102050781,0.018751388314115,0.563477342255407
309,AN-87,1562.562744141,0.0187543269484252,0.563516500162649
310,AO-87,1791.866699219,0.0187573027094459,0.563558433307889
311,AP-87,1962.100952148,0.0187595528443296,0.563587875545166
312,AQ-87,1952.229370117,0.0187616230427921,0.563615110621097
313,AR-87,1775.800292969,0.0187635059505027,0.563640114207774
314,AS-87,1621.064941406,0.018765541792007,0.563668191907124
315,AT-87,1257.868164062,0.0187670456619173,0.563688223716767
316,AU-87,959.803161621,0.0187681716659966,0.563702935142747
317,AV-87,1014.709960938,0.0187695317562202,0.563722034931686
318,AW-87,950.544067383,0.0187702936675578,0.563731614371563
319,AX-87,770.748779297,0.0187709120060617,0.563740916499003
320,AY-87,918.927978516,0.0187712374716611,0.563745709813497
321,AZ-87,903.533447266,0.0187712241311004,0.563744828858827
322,BA-87,833.262268066,0.018771071897433,0.563742730949967
323,BB-87,774.951599121,0.0187707003082878,0.563737621420267
324,BC-87,707.547729492,0.0187699684447864,0.563727466452753
325,BD-87,678.842041016,0.0187690660519131,0.563715785570809
326,BE-87,656.643615723,0.0187678372723745,0.563698793815461
327,BF-87,644.859436035,0.0187665726509678,0.56368166772369
328,BG-87,710.865234375,0.0187650837543423,0.563661698354829
329,BH-87,769.50970459,0.0187628482999767,0.563629726353778
330,BI-87,724.986328125,0.0187609616815649,0.5636052572061
331,BJ-87,664.39050293,0.0187588602636963,0.563577383280518
332,BK-87,641.916137695,0.0187563080265554,0.563543050006285
333,BL-87,634.870300293,0.0187533542849021,0.56350275085484
334,BM-87,616.942138672,0.0187502262765724,0.563459966942292
335,BN-87,580.302490234,0.0187469821879258,0.563416085531056
336,BO-87,577.966247559,0.0187437485143462,0.56337315551488
337,BP-87,545.26184082,0.0187399888067326,0.563322198504233
338,AH-86,1160.250244141,0.0187774231303592,0.564057051133141
339,AI-86,1343.823852539,0.0187816450133198,0.564114173242738
340,AJ-86,1447.591186523,0.0187854759507786,0.564165399189297
341,AK-86,1482.101074219,0.0187891372464577,0.564215031254712
342,AL-86,1501.152587891,0.0187925468903529,0.564260710768139
343,AM-86,1523.236694336,0.0187958689404581,0.564305925326912
344,AN-86,1523.080932617,0.0187986056541263,0.564341965587374
345,AO-86,1712.940551758,0.0188015746315813,0.564383139342043
346,AP-86,2202.791259766,0.0188040433431667,0.564416030608352
347,AQ-86,2058.7109375,0.0188061998836133,0.564444510533154
348,AR-86,1738.448608398,0.018808105959522,0.564469937961218
349,AS-86,1368.10546875,0.0188099107490274,0.564494407299514
350,AT-86,1246.145141602,0.0188115532504867,0.564516240705345
351,AU-86,931.567138672,0.0188129561837229,0.564534927726351
352,AV-86,848.617675781,0.0188138715191855,0.564547239047669
353,AW-86,827.720275879,0.0188146072539368,0.564557419546616
354,AX-86,730.947814941,0.0188154074840696,0.564569225103379
355,AY-86,731.450317383,0.0188156832875706,0.56457243301206
356,AZ-86,914.518981934,0.0188157298762093,0.564572737005929
357,BA-86,893.478942871,0.0188154885667515,0.564568845189161
358,BB-86,790.965698242,0.01881532315074,0.56456765544253
359,BC-86,765.386657715,0.0188145747104329,0.564556797570133
360,BD-86,703.142333984,0.0188137382356963,0.564545482613752
361,BE-86,669.123535156,0.0188124829828062,0.564528246382964
362,BF-86,658.63092041,0.0188110352271345,0.564508951384435
363,BG-86,674.348876953,0.0188095772655323,0.564490344983472
364,BH-86,679.221496582,0.0188073817502623,0.564459527096785
365,BI-86,692.589538574,0.0188050133396924,0.564427237431055
366,BJ-86,657.985168457,0.0188030542950788,0.564402085072011
367,BK-86,650.196899414,0.0188007454485465,0.564371195156846
368,BL-86,651.88873291,0.018797579817762,0.564326802200034
369,BM-86,623.946289062,0.0187946908233982,0.56428909875093
370,BN-86,607.190490723,0.0187912637528527,0.564242469542694
371,BO-86,600.479248047,0.0187879373653974,0.564197802850052
372,BP-86,581.326721191,0.0187843627745252,0.56415022898943
373,BQ-86,573.054931641,0.0187801665723164,0.564093221056643
374,BR-86,562.37298584,0.0187757221191127,0.564032076350595
375,AH-85,1159.958007812,0.0188220768595784,0.564890016574418
376,AI-85,1434.599975586,0.0188262970803947,0.564946257732654
377,AJ-85,1678.03125,0.0188302508438767,0.564999647334911
378,AK-85,1625.4765625,0.018833852770868,0.565047530002987
379,AL-85,1617.735839844,0.0188374385162149,0.565096223322023
380,AM-85,1730.975219727,0.0188406856501473,0.565139934517857
381,AN-85,1736.836669922,0.0188435340214568,0.565177669482389
382,AO-85,1495.526855469,0.0188463677140049,0.565216286221109
383,AP-85,1565.653076172,0.0188488423191302,0.565249373374068
384,AQ-85,1479.567016602,0.0188511272111356,0.565279922698389
385,AR-85,1224.659179688,0.0188528501694378,0.565302128976247
386,AS-85,1193.864624023,0.0188546230543949,0.565327031557934
387,AT-85,1184.877197266,0.0188562293864862,0.565348425291545
388,AU-85,836.389038086,0.0188576188610341,0.565366887809598
389,AV-85,764.61340332,0.0188586752504989,0.565380898062094
