OBJECTID,GRID_ID,tas,Shape__Area,Shape__Length
224,AR-90,10.48431015,0.0186318372358159,0.561189920232515
225,AS-90,10.990706444,0.018633596306401,0.561213750472612
226,AU-90,11.122654915,0.0186362040256967,0.56124888683457
227,AV-90,11.057531357,0.0186372498854581,0.561264280981915
228,AW-90,10.875101089,0.0186380313210321,0.561274526390114
229,AX-90,10.104867935,0.018638620772748,0.561282343236883
230,AY-90,10.14302063,0.0186389350481235,0.561286333684229
231,AZ-90,10.281454086,0.0186391986686303,0.561290160264883
232,BA-90,9.846443176,0.0186389991722962,0.561287320211474
233,BB-90,9.800238609,0.0186386462617492,0.561283228237115
234,BC-90,10.047662735,0.0186378975887393,0.561272555467911
235,BD-90,10.154771805,0.0186369693991324,0.561259771050138
236,BE-90,10.450904846,0.0186357117441531,0.561242231554497
237,BF-90,10.78940773,0.018634086377272,0.561218203103536
238,BG-90,10.775932312,0.0186327250753315,0.561200210322442
239,BH-90,11.049941063,0.0186312286389718,0.561181080226551
240,BI-90,11.541698456,0.0186292432869699,0.56115462666444
241,BJ-90,11.599183083,0.0186270608193224,0.561125280014201
242,BK-90,11.715866089,0.0186243304510914,0.561087177246616
243,BL-90,11.336400986,0.0186214571977121,0.561048025019138
244,BM-90,11.203836441,0.0186186467552591,0.561010048718265
245,BN-90,11.10693264,0.0186152823608108,0.560962449021847
246,BO-90,11.395680428,0.0186120723417176,0.560919567067877
247,AP-89,10.64141655,0.0186714201529981,0.561946709604945
248,AQ-89,9.884246826,0.0186738103480195,0.561979876983463
249,AR-89,10.127928734,0.0186754973050824,0.562001724145525
250,AS-89,10.217853546,0.0186772636157002,0.562026094728567
251,AT-89,10.883872986,0.0186787975986249,0.562047282519154
252,AV-89,11.101742744,0.0186812077548666,0.56207969760186
253,AW-89,10.677195549,0.0186821899740863,0.562093657453579
254,AX-89,10.142777443,0.0186825250354659,0.562097335563441
255,AY-89,10.233983994,0.0186827533148559,0.562100238788952
256,AZ-89,10.419858932,0.0186830433664511,0.562105115367934
257,BA-89,10.606053352,0.0186827360425212,0.562100817066369
258,BB-89,10.177043915,0.0186822735850996,0.562094323026283
259,BC-89,10.171319962,0.0186816940301071,0.562086539122855
260,BD-89,10.293704987,0.0186807338744082,0.562073291389774
261,BE-89,10.198608398,0.0186795599406047,0.562056980075215
262,BF-89,10.034593582,0.0186778363120297,0.562031989725535
263,BG-89,10.444285393,0.0186763207120855,0.562012250218915
264,BH-89,10.784627914,0.0186747446696955,0.561992027691671
265,BI-89,11.18414402,0.0186729103841508,0.561967256834864
266,BJ-89,11.414782524,0.0186706534502847,0.561936596211817
267,BK-89,11.779158592,0.0186678919730619,0.561898767349583
268,BL-89,11.591011047,0.0186651586610482,0.561861490020888
269,BM-89,11.061182022,0.0186623028420021,0.561822432057482
270,BN-89,11.009508133,0.0186588226378213,0.561773773352612
271,BO-89,11.252735138,0.0186556273736489,0.561731521177144
272,AI-88,10.71370697,0.018693331316868,0.562466587096785
273,AM-88,10.668523788,0.0187072362835323,0.562655210395064
274,AN-88,10.811577797,0.0187101204813018,0.562694519445478
275,AO-88,10.825722694,0.0187128993024714,0.562732195611697
276,AP-88,9.569629669,0.0187152834050863,0.562764177037378
277,AQ-88,8.602675438,0.0187173653515913,0.562791972876731
278,AR-88,9.488438606,0.0187191756268277,0.562815308542936
279,AS-88,9.524956703,0.0187211015163484,0.562843014642663
280,AT-88,9.935763359,0.0187225661485684,0.56286287863025
281,AU-88,10.362257957,0.0187238285174658,0.562878354740602
282,AV-88,10.346101761,0.0187252839135965,0.562899578131063
283,AW-88,10.87558651,0.0187260193008854,0.562909075145063
284,AX-88,10.304172516,0.0187266580681325,0.562917495058688
285,AY-88,10.021655083,0.0187269623005832,0.562921633592414
286,AZ-88,10.294207573,0.0187270326087656,0.562922840054667
287,BA-88,10.465388298,0.0187269663502221,0.562921870270968
288,BB-88,10.473954201,0.0187263886659323,0.562913203444275
289,BC-88,10.576170921,0.0187257836960484,0.562905622266716
290,BD-88,10.71948719,0.0187248307362715,0.562892701936347
291,BE-88,10.436749458,0.0187235412421174,0.562875235492148
292,BF-88,10.246495247,0.0187219811344335,0.562853365064943
293,BG-88,10.261723518,0.0187205902401111,0.562834648513209
294,BH-88,10.357199669,0.018718842514847,0.562810042209884
295,BI-88,10.730269432,0.0187169982059103,0.562786245514196
296,BJ-88,10.672188759,0.0187144736961558,0.562752390399148
297,BK-88,11.243870735,0.0187120479554495,0.562719308415657
298,BL-88,10.834906578,0.0187092985645343,0.562681560442004
299,BM-88,10.584249496,0.0187061371084036,0.562638670464074
300,BN-88,10.670404434,0.0187027608997266,0.562592170159404
301,BO-88,10.884702682,0.0186994183905167,0.562548491178722
302,BP-88,10.996679306,0.0186956681595412,0.562497341190135
303,AH-87,10.661252975,0.0187330729868052,0.563229246683945
304,AI-87,10.306046486,0.0187373503790695,0.563287841086829
305,AJ-87,10.111575127,0.0187411519562772,0.563338906199586
306,AK-87,9.932408333,0.0187448911757713,0.563389710138792
307,AL-87,10.241699219,0.0187481520984818,0.563433459963703
